# initial_tempo=120 bpm
# tempo_change_tick=0 bpm=120
# tempo_change_tick=0 bpm=124
time_ms,key,shift
494,e,0
988,u,0
988,t,0
1391,d,0
1764,h,0
1764,u,0
1764,t,0
2167,h,0
2167,e,0
2535,j,0
2535,i,0
2535,y,0
2535,t,0
2878,f,0
3216,d,0
3216,i,0
3216,y,0
3216,t,0
3528,w,0
3558,f,0
3901,i,0
3901,y,0
3901,r,0
4239,f,0
4521,d,0
4521,i,0
4521,y,0
4551,r,0
4859,h,0
4859,w,0
5202,u,0
5202,t,0
5202,r,0
5539,f,0
5852,u,0
5852,t,0
5852,r,0
6159,q,0
6472,u,0
6472,t,0
6472,e,0
6719,a,0
6996,s,0
6996,u,0
6996,t,0
6996,e,0
7273,a,0
7273,q,0
7555,s,0
7555,e,0
7586,u,0
7586,r,0
7833,d,0
8080,f,0
8080,u,0
8080,e,0
8110,r,0
8327,0,0
8357,d,0
8609,u,0
8609,r,0
8609,e,0
8856,s,0
9103,u,0
9103,r,0
9103,e,0
9350,a,0
9350,0,0
9597,s,0
9597,y,0
9597,r,0
9597,w,1
9844,d,0
10030,y,0
10030,r,0
10030,w,1
10060,f,0
10307,e,0
10559,u,0
10559,t,0
10776,d,0
10993,h,0
10993,u,0
10993,t,0
11210,h,0
11210,e,0
11426,j,0
11457,i,0
11457,y,0
11457,t,0
11643,f,0
11830,d,0
11830,i,0
11830,y,0
11830,t,0
12046,f,0
12046,w,0
12263,h,0
12263,y,0
12263,r,0
12293,i,0
12354,k,0
12480,l,0
12571,x,0
12697,v,0
12697,i,0
12697,y,0
12697,r,0
12787,n,0
12913,n,0
12913,w,0
13004,m,0
13095,t,0
13095,r,0
13130,v,0
13130,u,0
13191,x,0
13311,z,0
13407,x,0
13498,l,0
13498,u,0
13498,t,0
13528,r,0
13594,j,0
13745,q,0
13841,j,0
13901,t,0
13931,v,0
13931,u,0
13931,e,0
14027,c,0
14118,x,0
14214,c,0
14274,u,0
14274,t,0
14274,e,0
14304,l,0
14395,j,0
14491,v,0
14491,q,0
14582,c,0
14677,l,0
14677,y,0
14677,r,0
14677,e,0
14768,j,0
14864,c,0
14955,x,0
15015,y,0
15015,r,0
15015,e,0
15045,l,0
15141,j,0
15232,c,0
15232,0,0
15328,x,0
15388,r,0
15388,e,0
15418,k,0
15418,y,0
15514,j,0
15605,x,0
15665,z,0
15731,e,0
15761,j,0
15761,y,0
15761,r,0
15852,h,1
15948,z,0
15978,0,0
16038,l,0
16134,k,0
16134,r,0
16164,y,0
16164,w,1
16225,h,1
16316,g,0
16351,0,0
16411,f,0
16472,d,0
16568,y,0
16568,r,0
16568,w,1
16598,a,0
16689,p,0
16784,o,1
16905,4,0
16905,Ctrl+9,0
17092,0,0
17248,q,0
17369,e,0
17525,p,0
17525,i,0
17525,t,0
17616,t,0
17742,q,0
17802,f,0
17898,4,0
17898,Ctrl+9,0
18085,2,0
18085,Ctrl+6,0
18175,f,0
18175,p,0
18332,9,0
18453,q,0
18579,e,0
18669,p,0
18669,u,0
18669,t,0
18700,d,0
18765,t,0
18886,q,0
18952,s,0
18952,p,0
18952,u,0
18952,t,0
18952,e,0
19073,9,0
19199,3,0
19199,Ctrl+8,0
19289,a,0
19289,o,1
19289,i,0
19446,7,0
19572,s,0
19572,i,0
19572,3,0
19602,a,0
19693,w,1
19788,d,0
19788,i,0
19879,r,0
20035,f,0
20035,i,0
20096,w,1
20252,Ctrl+t,0
20252,Ctrl+3,0
20373,o,0
20373,u,0
20403,Ctrl+e,0
20403,d,0
20403,Ctrl+1,0
20620,8,0
20746,0,0
20872,w,0
20963,r,0
21089,r,0
21179,o,0
21179,u,0
21210,t,0
21366,w,0
21457,0,0
21552,8,0
21673,7,0
21860,6,0
21920,3,0
22016,2,0
22016,Ctrl+6,0
22354,9,0
22510,q,0
22666,e,0
22757,t,0
22787,p,0
22787,i,0
22853,t,0
22853,r,0
22944,q,0
23070,e,0
23100,f,0
23317,2,0
23317,Ctrl+6,0
23443,2,1
23443,Ctrl+7,1
23533,f,0
23533,o,1
23533,u,0
23564,Ctrl+8,0
23594,3,0
23780,7,0
23936,q,0
24057,w,1
24153,r,0
24214,f,0
24214,d,0
24214,o,1
24214,u,0
24274,r,0
24400,y,0
24491,r,0
24587,f,0
24587,s,0
24587,o,1
24587,u,0
24617,w,1
24708,q,0
24894,0,0
25176,a,0
25176,o,0
25207,u,0
25297,6,0
25297,Ctrl+e,0
25670,y,0
25791,9,0
25917,a,0
25917,o,0
26104,a,0
26104,o,0
26164,w,0
26290,y,0
26321,r,0
26442,r,0
26507,a,0
26507,o,0
26598,8,0
26658,Ctrl+e,0
26784,6,0
26815,s,0
26815,p,0
26815,o,0
26845,u,0
27097,8,0
27218,0,0
27344,w,0
27374,s,0
27374,p,0
27374,o,0
27374,u,0
27404,t,0
27495,s,0
27495,p,0
27495,o,0
27495,u,0
27530,t,0
27621,s,0
27621,o,0
27621,u,0
27621,t,0
27712,8,0
27928,s,0
27928,p,0
27928,o,0
27928,u,0
28024,t,0
28145,8,0
28332,s,0
28332,p,0
28332,u,0
28362,o,0
28362,t,0
28362,0,0
29168,2,0
29511,6,0
29698,8,0
29849,9,0
29914,q,0
30035,e,0
30131,t,0
30252,y,0
30348,i,0
30529,p,0
30565,d,0
30716,i,0
30842,y,0
30932,t,0
30998,h,0
30998,e,0
31119,q,0
31245,9,0
31336,8,0
31552,5,0
31678,h,0
31799,7,0
31956,9,0
32051,q,0
32142,w,0
32203,j,0
32203,r,0
32329,y,0
32419,i,0
32515,o,0
32606,f,0
32666,a,0
32853,o,0
32949,d,0
32949,i,0
33009,y,0
33100,r,0
33196,w,0
33256,5,0
33317,q,0
33473,1,0
33629,f,0
33936,7,0
34032,8,0
34093,0,0
34153,w,0
34249,r,0
34340,t,0
34466,u,0
34556,f,0
34617,o,0
34743,u,0
34869,t,0
34899,d,0
34960,r,0
35146,w,0
35207,s,0
35272,0,0
35363,8,0
35489,7,0
35549,Ctrl+e,0
35670,a,0
35857,5,0
35983,6,0
36013,s,0
36074,8,0
36200,w,0
36230,d,0
36290,e,0
36386,t,0
36507,a,0
36573,o,0
36724,u,0
36850,t,0
36941,e,0
37036,w,0
37127,0,0
37157,o,0
37253,8,0
37747,2,0
38024,6,0
38211,8,0
38337,9,0
38427,q,0
38488,e,0
38614,t,0
38710,y,0
38831,i,0
39047,d,0
39173,i,0
39294,y,0
39360,t,0
39451,e,0
39541,q,0
39667,9,0
39758,8,0
39793,h,0
39945,5,0
40071,h,0
40192,7,0
40348,9,0
40444,q,0
40504,j,0
40595,r,0
40691,y,0
40811,i,0
40907,f,0
40907,o,0
41028,a,0
41184,o,0
41275,i,0
41310,d,0
41371,y,0
41492,w,0
41588,q,0
41678,9,0
41835,8,0
41991,f,0
42177,0,0
42359,w,0
42611,t,0
42702,u,0
42797,o,0
42918,u,0
42979,t,0
43044,r,0
43165,w,0
43291,0,0
43478,8,0
43629,d,0
43846,a,0
43846,w,0
44032,t,0
44128,u,0
44249,0,0
44375,w,0
44561,t,0
44652,u,0
44778,o,0
44778,w,0
44869,0,0
45025,8,0
45428,7,0
45892,2,0
46230,6,0
46416,8,0
46542,9,0
46633,q,0
46729,e,0
46850,t,0
46976,y,0
47067,i,0
47253,p,0
47283,d,0
47440,i,0
47566,y,0
47656,t,0
47717,h,0
47717,e,0
47843,q,0
47969,9,0
48059,8,0
48246,5,0
48402,h,0
