# initial_tempo=120 bpm
# tempo_change_tick=0 bpm=120
# tempo_change_tick=0 bpm=200
time_ms,key,shift
0,8,1
0,1,1
0,Ctrl+5,1
0,8,1
0,1,1
0,t,1
0,t,1
0,8,1
0,s,1
0,t,1
0,8,1
0,1,1
1,1,1
1,8,1
1,t,1
1,8,1
73,5,1
73,w,1
73,o,1
73,w,1
74,w,1
74,Ctrl+w,1
74,5,1
74,o,1
74,w,1
74,h,1
74,o,1
74,5,1
75,5,1
75,w,1
75,o,1
75,w,1
148,8,1
148,5,1
148,t,1
148,w,1
148,s,1
148,o,1
148,t,1
148,w,1
149,t,1
149,w,1
149,1,1
149,Ctrl+w,1
149,8,1
149,5,1
149,s,1
149,o,1
149,t,1
149,w,1
149,l,1
149,h,1
149,s,1
149,o,1
149,8,1
149,5,1
150,8,1
150,5,1
150,t,1
150,w,1
150,s,1
150,o,1
150,t,1
150,w,1
223,0,0
223,u,0
223,f,0
223,u,0
224,u,0
224,3,0
224,0,0
224,f,0
224,u,0
224,x,0
224,f,0
224,0,0
225,0,0
225,u,0
225,f,0
225,u,0
298,w,1
298,1,1
298,o,1
298,8,1
298,h,1
298,t,1
298,o,1
298,8,1
299,o,1
299,8,1
299,5,1
299,Ctrl+5,1
299,w,1
299,1,1
299,h,1
299,t,1
299,o,1
299,8,1
299,v,1
299,s,1
299,h,1
299,t,1
299,w,1
299,1,1
300,w,1
300,1,1
300,o,1
300,8,1
300,h,1
300,t,1
300,o,1
300,8,1
373,8,1
373,t,1
373,s,1
373,t,1
374,t,1
374,1,1
374,8,1
374,s,1
374,t,1
374,l,1
374,s,1
374,8,1
375,8,1
375,t,1
375,s,1
375,t,1
448,0,0
448,5,1
448,u,0
448,w,1
448,f,0
448,o,1
448,u,0
448,w,1
449,u,0
449,w,1
449,3,0
449,Ctrl+w,1
449,0,0
449,5,1
449,f,0
449,o,1
449,u,0
449,w,1
449,x,0
449,h,1
449,f,0
449,o,1
449,0,0
449,5,1
450,0,0
450,5,1
450,u,0
450,w,1
450,f,0
450,o,1
450,u,0
450,w,1
523,w,1
523,o,1
523,h,1
523,o,1
524,o,1
524,5,1
524,w,1
524,h,1
524,o,1
524,v,1
524,h,1
524,w,1
525,w,1
525,o,1
525,h,1
525,o,1
598,t,1
598,1,1
598,s,1
598,8,1
598,l,1
598,t,1
598,s,1
598,8,1
599,s,1
599,8,1
599,8,1
599,Ctrl+5,1
599,t,1
599,1,1
599,l,1
599,t,1
599,s,1
599,8,1
599,l,1
599,s,1
599,l,1
599,t,1
599,t,1
599,1,1
600,t,1
600,1,1
600,s,1
600,8,1
600,l,1
600,t,1
600,s,1
600,8,1
673,0,0
673,u,0
673,f,0
673,u,0
674,u,0
674,3,0
674,0,0
674,f,0
674,u,0
674,x,0
674,f,0
674,0,0
675,0,0
675,u,0
675,f,0
675,u,0
748,w,1
748,5,1
748,o,1
748,w,1
748,h,1
748,o,1
748,o,1
748,w,1
749,o,1
749,w,1
749,5,1
749,Ctrl+w,1
749,w,1
749,5,1
749,h,1
749,o,1
749,o,1
749,w,1
749,v,1
749,h,1
749,h,1
749,o,1
749,w,1
749,5,1
750,w,1
750,5,1
750,o,1
750,w,1
750,h,1
750,o,1
750,o,1
750,w,1
823,t,1
823,s,1
823,l,1
823,s,1
824,s,1
824,8,1
824,t,1
824,l,1
824,s,1
824,l,1
824,l,1
824,t,1
825,t,1
825,s,1
825,l,1
825,s,1
898,u,0
898,1,1
898,f,0
898,8,1
898,x,0
898,t,1
898,f,0
898,8,1
899,f,0
899,8,1
899,0,0
899,Ctrl+5,1
899,u,0
899,1,1
899,x,0
899,t,1
899,f,0
899,8,1
899,x,0
899,s,1
899,x,0
899,t,1
899,u,0
899,1,1
900,u,0
900,1,1
900,f,0
900,8,1
900,x,0
900,t,1
900,f,0
900,8,1
973,w,1
973,o,1
973,h,1
973,o,1
974,o,1
974,5,1
974,w,1
974,h,1
974,o,1
974,v,1
974,h,1
974,w,1
975,w,1
975,o,1
975,h,1
975,o,1
1048,t,1
1048,5,1
1048,s,1
1048,w,1
1048,l,1
1048,o,1
1048,s,1
1048,w,1
1049,s,1
1049,w,1
1049,8,1
1049,Ctrl+w,1
1049,t,1
1049,5,1
1049,l,1
1049,o,1
1049,s,1
1049,w,1
1049,l,1
1049,h,1
1049,l,1
1049,o,1
1049,t,1
1049,5,1
1050,t,1
1050,5,1
1050,s,1
1050,w,1
1050,l,1
1050,o,1
1050,s,1
1050,w,1
1123,u,0
1123,f,0
1123,x,0
1123,f,0
1124,f,0
1124,0,0
1124,u,0
1124,x,0
1124,f,0
1124,x,0
1124,x,0
1124,u,0
1125,u,0
1125,f,0
1125,x,0
1125,f,0
1198,o,1
1198,1,1
1198,h,1
1198,8,1
1198,v,1
1198,t,1
1198,h,1
1198,8,1
1199,h,1
1199,8,1
1199,w,1
1199,Ctrl+5,1
1199,o,1
1199,1,1
1199,v,1
1199,t,1
1199,h,1
1199,8,1
1199,v,1
1199,s,1
1199,v,1
1199,t,1
1199,o,1
1199,1,1
1200,o,1
1200,1,1
1200,h,1
1200,8,1
1200,v,1
1200,t,1
1200,h,1
1200,8,1
1273,t,1
1273,s,1
1273,l,1
1273,s,1
1274,s,1
1274,8,1
1274,t,1
1274,l,1
1274,s,1
1274,l,1
1274,l,1
1274,t,1
1275,t,1
1275,s,1
1275,l,1
1275,s,1
1348,u,0
1348,5,1
1348,f,0
1348,w,1
1348,x,0
1348,o,1
1348,f,0
1348,w,1
1349,f,0
1349,w,1
1349,0,0
1349,Ctrl+w,1
1349,u,0
1349,5,1
1349,x,0
1349,o,1
1349,f,0
1349,w,1
1349,x,0
1349,h,1
1349,x,0
1349,o,1
1349,u,0
1349,5,1
1350,u,0
1350,5,1
1350,f,0
1350,w,1
1350,x,0
1350,o,1
1350,f,0
1350,w,1
1423,o,1
1423,h,1
