# initial_tempo=120 bpm
# tempo_change_tick=0 bpm=120
# tempo_change_tick=0 bpm=174
time_ms,key,shift
0,u,0
0,i,0
0,i,1
0,o,0
0,y,1
0,y,0
0,t,1
43,j,1
43,j,0
43,7,0
43,6,1
70,k,0
70,h,1
70,8,0
70,6,0
97,l,0
97,h,0
97,8,1
97,5,1
124,l,1
124,g,1
124,9,0
124,5,0
151,z,0
151,g,0
151,9,1
151,4,1
178,z,1
178,f,0
178,0,0
178,4,0
205,x,0
205,d,1
205,q,0
205,3,0
232,c,0
232,d,0
232,q,1
232,2,1
259,c,1
259,s,1
259,w,0
259,2,0
286,v,0
286,s,0
286,w,1
286,1,1
312,v,1
312,a,0
312,e,0
312,1,0
339,b,0
339,p,1
339,e,1
339,Ctrl+t,0
366,b,1
366,p,0
366,r,0
366,Ctrl+r,1
393,n,0
393,o,1
393,t,0
393,Ctrl+e,0
603,o,1
603,p,0
603,p,1
603,a,0
603,s,0
603,s,1
603,d,0
603,d,1
603,f,0
603,g,0
603,g,1
603,h,0
603,j,0
603,j,1
603,h,1
603,k,0
603,l,0
603,l,1
603,z,0
603,z,1
603,x,0
603,c,0
603,c,1
603,2,0
603,2,1
603,3,0
603,4,0
603,4,1
603,5,0
603,5,1
603,6,1
603,7,0
603,6,0
603,8,0
603,8,1
603,9,0
603,9,1
603,0,0
603,q,0
603,q,1
603,w,0
603,w,1
603,e,0
603,e,1
603,r,0
603,t,0
1377,e,1
1379,s,0
1398,t,1
1420,i,0
1552,s,1
1897,g,0
1907,h,1
2241,s,1
2414,s,0
2756,w,1
2759,s,0
2777,t,1
2799,i,0
2931,s,1
3276,g,0
3287,h,1
3621,s,1
3793,h,1
3966,l,0
4116,h,1
4135,q,1
4138,l,0
4157,t,1
4157,e,1
4178,i,0
4310,j,1
4655,l,0
5000,l,0
5151,g,1
5172,l,1
5496,s,1
5515,q,0
5517,h,1
5536,w,1
5536,e,1
5558,t,1
6034,g,0
6034,s,1
6379,g,0
6379,s,1
6552,h,1
6552,g,0
6724,d,1
6810,g,0
6897,g,1
6897,Ctrl+7,1
6897,2,1
7069,q,1
7241,e,1
7414,d,1
7414,t,0
7500,g,0
7586,g,1
7586,t,1
7759,g,0
7759,p,1
7931,d,1
7931,p,1
8103,s,1
8190,d,1
8244,s,1
8276,d,1
8276,Ctrl+5,1
8276,1,1
8287,g,0
8448,q,0
8621,w,1
8793,s,1
8793,o,1
8793,e,1
8966,s,1
8966,o,1
8966,e,1
9138,w,1
9224,8,1
9310,j,1
9310,g,0
9310,i,0
9483,p,1
9634,s,0
9644,f,0
9655,j,1
9655,Ctrl+4,0
9655,1,0
9828,8,0
9914,w,0
10000,t,0
10172,j,0
10172,f,0
10172,i,0
10345,o,0
10517,j,0
10517,f,0
10517,t,0
10603,i,0
10690,j,1
10690,f,0
10690,o,0
10862,p,1
10948,s,0
11034,l,0
11034,g,0
11034,p,0
11034,Ctrl+1,0
11034,Ctrl+2,1
11034,Ctrl+3,0
11034,Ctrl+4,0
11034,Ctrl+5,1
11034,Ctrl+6,0
11034,Ctrl+1,0
11040,Ctrl+1,0
11040,Ctrl+2,1
11040,Ctrl+3,0
11040,Ctrl+4,0
11040,Ctrl+5,1
11040,Ctrl+6,0
11045,Ctrl+1,0
11045,Ctrl+2,1
11045,Ctrl+3,0
11045,Ctrl+4,0
11045,Ctrl+5,1
11045,Ctrl+6,0
11051,Ctrl+1,0
11051,Ctrl+2,1
11051,Ctrl+3,0
11051,Ctrl+4,0
11051,Ctrl+5,1
11051,Ctrl+6,0
11056,Ctrl+1,0
11056,Ctrl+2,1
11056,Ctrl+3,0
11056,Ctrl+4,0
11056,Ctrl+5,1
11056,Ctrl+6,0
11061,Ctrl+1,0
11061,Ctrl+2,1
11061,Ctrl+3,0
11061,Ctrl+4,0
11061,Ctrl+5,1
11061,Ctrl+6,0
11067,Ctrl+1,0
11067,Ctrl+2,1
11067,Ctrl+3,0
11067,Ctrl+4,0
11067,Ctrl+5,1
11067,Ctrl+6,0
11072,Ctrl+1,0
11072,Ctrl+2,1
11072,Ctrl+3,0
11072,Ctrl+4,0
11072,Ctrl+5,1
11072,Ctrl+6,0
11078,Ctrl+1,0
11078,Ctrl+2,1
11078,Ctrl+3,0
11078,Ctrl+4,0
11078,Ctrl+5,1
11078,Ctrl+6,0
11083,Ctrl+1,0
11083,Ctrl+2,1
11083,Ctrl+3,0
11083,Ctrl+4,0
11083,Ctrl+5,1
11083,Ctrl+6,0
11088,Ctrl+1,0
11088,Ctrl+2,1
11088,Ctrl+3,0
11088,Ctrl+4,0
11088,Ctrl+5,1
11088,Ctrl+6,0
11094,Ctrl+1,0
11094,Ctrl+2,1
11094,Ctrl+3,0
11094,Ctrl+4,0
11094,Ctrl+5,1
11094,Ctrl+6,0
11099,Ctrl+1,0
11099,Ctrl+2,1
11099,Ctrl+3,0
