# initial_tempo=120 bpm
# tempo_change_tick=0 bpm=120
# tempo_change_tick=0 bpm=110
# tempo_change_tick=3840 bpm=130
# tempo_change_tick=5760 bpm=150
# tempo_change_tick=7680 bpm=170
# tempo_change_tick=9600 bpm=190
# tempo_change_tick=11520 bpm=220
# tempo_change_tick=17280 bpm=65
# tempo_change_tick=19200 bpm=70
# tempo_change_tick=21120 bpm=90
# tempo_change_tick=23040 bpm=100
# tempo_change_tick=24960 bpm=110
# tempo_change_tick=26880 bpm=125
# tempo_change_tick=28800 bpm=140
# tempo_change_tick=30720 bpm=155
# tempo_change_tick=32640 bpm=162
# tempo_change_tick=34560 bpm=170
# tempo_change_tick=36480 bpm=180
# tempo_change_tick=38400 bpm=190
# tempo_change_tick=40320 bpm=200
# tempo_change_tick=42240 bpm=215
# tempo_change_tick=44160 bpm=225
# tempo_change_tick=45120 bpm=235
# tempo_change_tick=46080 bpm=245
# tempo_change_tick=47040 bpm=255
# tempo_change_tick=48000 bpm=270
# tempo_change_tick=51840 bpm=320
# tempo_change_tick=144000 bpm=70
# tempo_change_tick=144960 bpm=80
# tempo_change_tick=145920 bpm=90
# tempo_change_tick=146880 bpm=100
# tempo_change_tick=147840 bpm=120
# tempo_change_tick=148800 bpm=140
# tempo_change_tick=149760 bpm=160
# tempo_change_tick=150720 bpm=180
# tempo_change_tick=151680 bpm=200
# tempo_change_tick=152640 bpm=220
# tempo_change_tick=153600 bpm=240
# tempo_change_tick=154560 bpm=260
# tempo_change_tick=155520 bpm=280
# tempo_change_tick=156480 bpm=300
# tempo_change_tick=157440 bpm=310
# tempo_change_tick=158400 bpm=320
# tempo_change_tick=251523 bpm=360
# tempo_change_tick=266883 bpm=380
# tempo_change_tick=280323 bpm=400
# tempo_change_tick=288003 bpm=120
time_ms,key,shift
0,u,0
4364,u,0
6210,u,0
7010,u,0
7810,u,0
8516,u,0
8869,u,0
9222,u,0
9537,u,0
9853,u,0
10169,u,0
10485,u,0
10757,u,0
10894,u,0
11030,u,0
11167,u,0
11303,u,0
11439,u,0
11576,u,0
11712,u,0
11848,u,0
11985,f,0
11985,u,0
12121,f,0
12121,u,0
12257,f,0
12257,u,0
12257,0,0
12394,f,0
12394,u,0
12394,0,0
12530,f,0
12530,u,0
12530,0,0
12667,f,0
12667,u,0
12667,0,0
12667,3,0
12735,f,0
12735,u,0
12735,0,0
12735,3,0
12803,f,0
12803,u,0
12803,0,0
12803,3,0
12871,f,0
12871,u,0
12871,0,0
12871,3,0
12939,x,0
12939,f,0
12939,Ctrl+8,0
12939,3,0
13007,x,0
13007,f,0
13007,3,0
13007,Ctrl+8,0
13076,x,0
13076,f,0
13076,3,0
13076,Ctrl+8,0
13144,x,0
13144,f,0
13144,3,0
13144,Ctrl+8,0
13212,Ctrl+o,0
13212,x,0
13212,Ctrl+8,0
13212,3,0
13280,Ctrl+o,0
13280,x,0
13280,3,0
13280,Ctrl+8,0
13348,Ctrl+o,0
13348,x,0
13348,3,0
13348,Ctrl+8,0
13417,Ctrl+o,0
13417,x,0
13417,3,0
13417,Ctrl+8,0
13485,Ctrl+o,0
13485,x,0
13485,3,0
13485,Ctrl+8,0
13553,Ctrl+o,0
13553,x,0
13553,3,0
13553,Ctrl+8,0
13621,Ctrl+o,0
13621,x,0
13621,3,0
13621,Ctrl+8,0
13689,Ctrl+o,0
13689,x,0
13689,3,0
13689,Ctrl+8,0
13757,Ctrl+e,0
13757,6,0
14681,0,0
14681,8,0
15604,3,0
16527,0,0
16527,8,0
17219,Ctrl+8,0
17219,3,0
17296,4,1
17296,Ctrl+0,1
17373,5,1
17373,Ctrl+w,1
17450,6,0
17450,Ctrl+e,0
18307,0,0
18307,8,0
19164,3,0
20021,0,0
20021,8,0
20878,u,0
20878,6,0
21212,u,0
21545,u,0
21545,0,0
21545,8,0
21878,u,0
22212,u,0
22212,3,0
22545,u,0
22878,u,0
22878,0,0
22878,8,0
23212,u,0
23545,u,0
23545,6,0
23845,u,0
24145,u,0
24145,0,0
24145,8,0
24445,u,0
24745,u,0
24745,3,0
25045,u,0
25345,u,0
25345,0,0
25345,8,0
25645,u,0
25945,u,0
25945,6,0
26218,u,0
26490,u,0
26490,0,0
26490,8,0
26763,u,0
27036,u,0
27036,3,0
27309,i,0
27581,u,0
27581,0,0
27581,8,0
27854,y,1
28127,u,0
28127,6,0
28607,p,0
28607,0,0
28607,8,0
29087,s,0
29087,3,0
29567,0,0
29567,8,0
30047,d,0
30047,5,1
30261,d,0
30475,d,0
30475,0,0
30475,9,0
30690,d,0
30904,d,0
30904,3,0
31118,s,0
31332,a,0
31332,9,0
31332,0,0
31547,d,0
31761,s,0
31761,6,0
31955,s,0
32148,s,0
32148,0,0
32148,8,0
32342,s,0
32535,s,0
32535,3,0
32729,a,0
32922,p,0
32922,0,0
32922,8,0
33116,s,0
33309,a,0
33309,7,0
33495,a,0
33680,a,0
33680,e,0
33680,9,1
33865,a,0
34050,i,1
34050,4,1
34421,a,0
34421,e,0
34421,9,1
34791,o,1
34791,w,1
34791,0,0
34791,7,0
35497,0,0
35497,3,0
35497,Ctrl+8,0
36085,4,1
36085,Ctrl+0,1
36144,5,1
36144,Ctrl+w,1
36203,u,0
36203,6,0
36203,Ctrl+e,0
36369,u,0
36536,u,0
36536,0,0
36536,8,0
36703,u,0
36869,u,0
36869,3,0
37036,u,0
37203,u,0
37203,0,0
37203,8,0
37369,u,0
37536,u,0
37536,6,0
37694,u,0
37852,u,0
37852,0,0
37852,8,0
38010,u,0
38168,u,0
38168,3,0
38325,u,0
38483,u,0
38483,0,0
38483,8,0
38641,u,0
38799,u,0
38799,6,0
38949,i,0
39099,u,0
39099,0,0
39099,8,0
39249,y,1
39399,u,0
39399,3,0
39699,p,0
39699,0,0
39699,8,0
39849,s,0
39999,f,0
39999,6,0
40278,j,0
40278,0,0
40278,8,0
40557,l,0
40557,3,0
40836,0,0
40836,8,0
41115,z,0
41115,9,0
41249,l,0
41382,k,0
41382,r,0
41382,q,0
41515,z,0
41649,l,0
41649,8,0
41776,k,0
41904,j,0
41904,t,0
41904,0,0
42032,l,0
42159,k,0
42159,7,0
42282,j,0
42404,h,1
42404,w,1
42404,9,0
42527,k,0
42649,j,0
42649,6,0
42767,f,0
42885,s,0
42885,e,0
42885,8,0
43002,p,0
43120,g,0
43120,0,0
43120,3,0
43231,f,0
43342,d,0
43342,q,1
43342,4,1
43453,s,0
43564,a,0
43564,w,1
43564,5,1
43675,p,0
43786,o,1
43786,0,0
43786,3,0
43898,a,0
44009,p,0
44009,e,0
44009,6,0
44453,3,0
44453,Ctrl+8,0
44824,4,1
44824,Ctrl+0,1
44861,5,1
44861,Ctrl+w,1
44898,u,0
44898,6,0
44991,u,0
45085,u,0
45085,0,0
45085,8,0
45179,u,0
45273,u,0
45273,3,0
45366,u,0
45460,u,0
45460,0,0
45460,8,0
45554,u,0
45648,u,0
45648,6,0
45741,u,0
45835,u,0
45835,0,0
45835,8,0
45929,u,0
46023,u,0
46023,3,0
46116,u,0
46210,u,0
46210,0,0
46210,8,0
46304,u,0
46398,u,0
46398,6,0
46491,u,0
46585,u,0
46585,0,0
46585,8,0
46679,u,0
46773,u,0
46773,3,0
46866,i,0
46960,u,0
46960,0,0
46960,8,0
47054,y,1
47148,u,0
47148,6,0
47335,p,0
47335,0,0
47335,8,0
47523,s,0
47523,3,0
47710,0,0
47710,8,0
47898,d,0
47898,5,1
47991,d,0
48085,d,0
48085,0,0
48085,9,0
48179,d,0
48273,d,0
48273,3,0
48366,s,0
48460,a,0
48460,9,0
48460,0,0
48554,d,0
48648,s,0
48648,6,0
48741,s,0
48835,s,0
48835,0,0
48835,8,0
48929,s,0
49023,s,0
49023,3,0
49116,a,0
49210,p,0
49210,0,0
49210,8,0
49304,s,0
49398,a,0
49398,7,0
49491,a,0
49585,a,0
49585,e,0
49585,9,1
49679,a,0
49773,i,1
49773,4,1
49960,a,0
49960,e,0
49960,9,1
50148,o,1
50148,w,1
50148,0,0
50148,7,0
50523,0,0
50523,3,0
