# initial_tempo=120 bpm
# tempo_change_tick=0 bpm=120
# tempo_change_tick=0 bpm=120
# tempo_change_tick=69120 bpm=145
# tempo_change_tick=192000 bpm=90
# tempo_change_tick=253440 bpm=180
time_ms,key,shift
1000,a,0
1000,k,0
1500,s,1
1500,l,1
2000,y,0
2000,o,0
2000,a,0
2000,d,0
2000,z,0
2000,5,0
2750,f,0
2750,x,0
2875,g,1
2875,c,1
3000,p,0
3000,s,1
3000,f,0
3000,x,0
3000,e,0
3000,u,0
3961,b,0
3961,j,0
4000,e,1
4000,t,1
4000,b,1
4000,j,1
4000,q,1
4375,g,1
4375,c,1
4750,f,0
4750,x,0
5000,y,0
5000,d,0
5000,z,0
5000,r,0
5000,9,0
5000,q,1
5000,r,0
5500,0,0
5500,t,1
5500,s,1
5500,l,1
5500,6,0
5500,8,1
6000,7,0
6000,w,0
6000,a,0
6000,k,0
6000,9,0
6000,r,0
6500,s,1
6500,l,1
7000,g,1
7000,c,1
7000,6,1
7000,8,1
7000,q,1
7750,d,0
7750,z,0
7875,s,1
7875,l,1
8000,r,0
8000,y,0
8000,a,0
8000,k,0
8000,7,0
8000,9,0
8000,q,1
8500,0,0
8500,e,0
8500,t,1
8500,u,0
8500,s,1
8500,l,1
9000,e,0
9000,y,0
9000,i,1
9000,z,0
9000,d,0
9000,9,0
9000,q,1
9500,e,0
9500,t,1
9500,p,0
9500,f,0
9500,x,0
9500,9,0
9500,r,0
9523,9,0
9523,r,0
9547,9,0
9547,r,0
9562,9,0
9562,r,0
9586,9,0
9586,r,0
9609,9,0
9609,r,0
9625,9,0
9625,r,0
9648,9,0
9648,r,0
9672,9,0
9672,r,0
9688,9,0
9688,r,0
9711,9,0
9711,r,0
9734,9,0
9734,r,0
9750,g,1
9750,c,1
9750,9,0
9750,r,0
9773,9,0
9773,r,0
9797,9,0
9797,r,0
9812,9,0
9812,r,0
9836,9,0
9836,r,0
9859,9,0
9859,r,0
9875,9,0
9875,r,0
9898,9,0
9898,r,0
9922,9,0
9922,r,0
9938,9,0
9938,r,0
9961,9,0
9961,r,0
9969,9,0
9969,r,0
10000,y,0
10000,o,0
10000,a,0
10000,d,0
10000,z,0
10000,w,0
10000,r,0
10000,9,0
10750,f,0
10750,x,0
10875,g,1
10875,c,1
11000,u,0
11000,p,0
11000,s,1
11000,f,0
11000,x,0
11000,6,0
11000,e,0
11961,j,0
11961,b,0
12000,e,1
12000,t,1
12000,i,1
12000,p,1
12000,j,1
12000,b,1
12000,q,1
12000,4,1
12375,g,1
12375,c,1
12750,f,0
12750,x,0
12875,z,1
12875,d,1
13000,y,0
13000,a,0
13000,d,0
13000,z,0
13000,9,0
13000,q,1
13000,r,0
13500,0,0
13500,e,0
13500,t,1
13500,u,0
13500,s,1
13500,l,1
13500,6,0
13500,8,1
14000,w,0
14000,y,0
14000,o,0
14000,a,0
14000,k,0
14000,7,0
14000,9,0
14000,r,0
14273,l,1
14273,s,1
14500,Ctrl+q,0
14500,5,0
14562,f,0
14562,x,0
15000,0,0
15000,e,0
15000,t,1
15000,u,0
15000,d,0
15000,z,0
15250,l,1
15250,s,1
15500,q,1
15500,r,0
15500,y,1
15500,i,1
15500,d,0
15500,z,0
15500,Ctrl+e,0
15500,6,0
15750,x,0
15750,f,0
16000,y,0
16000,i,1
16000,z,1
16000,d,1
16000,c,0
16000,Ctrl+p,0
16000,9,0
16000,q,1
16500,e,0
16500,y,0
16500,i,1
16500,Ctrl+o,0
16500,x,0
16500,9,0
16500,q,1
17000,e,0
17000,t,1
17000,i,0
17000,d,0
17000,z,0
17000,z,1
17000,Ctrl+i,1
17000,8,1
17000,q,0
17469,x,0
17469,Ctrl+o,0
17469,l,1
17469,s,1
17469,t,0
17469,i,1
17500,t,1
17500,i,0
17500,Ctrl+p,0
17500,c,0
17500,s,0
17500,l,0
17500,8,1
17500,q,1
18000,c,1
18000,g,1
18000,t,1
18000,9,0
18000,r,0
18000,i,1
18000,a,0
18000,g,1
18000,k,0
18000,y,0
18000,d,0
18000,Ctrl+1,0
18000,Ctrl+2,1
18000,Ctrl+3,0
18103,r,0
18103,i,1
18103,a,0
18103,g,1
18103,k,0
18103,y,0
18103,d,0
18207,k,0
18207,a,0
18207,r,0
18207,i,1
18207,a,0
18207,g,1
18207,k,0
18207,y,0
18207,d,0
18207,Ctrl+j,0
18310,r,0
18310,i,1
18310,a,0
18310,g,1
18310,k,0
18310,y,0
18310,d,0
18414,9,0
18414,t,1
18414,r,0
18414,i,1
18414,a,0
18414,g,1
18414,k,0
18414,y,0
18414,d,0
18414,Ctrl+h,0
18414,n,0
18414,m,0
18414,Ctrl+y,1
18414,Ctrl+u,0
18414,Ctrl+i,1
18414,Ctrl+o,0
18414,Ctrl+p,0
18414,Ctrl+a,1
18414,Ctrl+d,1
18414,Ctrl+s,0
18414,Ctrl+f,0
18414,Ctrl+g,1
18414,k,0
18414,l,0
18414,l,1
18414,z,0
18414,z,1
18414,x,0
18414,c,0
18414,c,1
18414,v,1
18414,v,0
18414,b,0
18414,b,1
18414,a,0
18414,s,0
18414,s,1
18414,d,0
18414,d,1
18414,f,0
18414,g,0
18414,g,1
18414,h,1
18414,h,0
18414,j,0
18414,j,1
18414,p,1
18517,r,0
18517,i,1
18517,a,0
18517,g,1
18517,k,0
18517,y,0
18517,d,0
18621,k,0
18621,a,0
18621,r,0
