# initial_tempo=120 bpm
# tempo_change_tick=0 bpm=120
# tempo_change_tick=0 bpm=105
# tempo_change_tick=0 bpm=105
# tempo_change_tick=0 bpm=105
time_ms,key,shift
0,w,1
0,5,1
0,5,1
286,k,0
286,v,1
286,w,1
286,5,1
286,5,1
857,k,0
857,v,1
1143,q,1
1143,4,1
1143,4,1
1429,c,1
1429,j,1
1429,4,1
1429,4,1
1429,q,1
1714,w,1
1714,5,1
1714,5,1
2000,z,1
2000,g,1
2000,7,0
2000,7,0
2000,r,0
2286,t,1
2286,8,1
2286,8,1
2571,x,0
2571,f,0
2571,8,1
2571,8,1
2571,t,1
3143,x,0
3143,f,0
3429,r,0
3429,7,0
3714,z,1
3714,d,1
3714,7,0
3714,r,0
4000,l,1
4000,s,1
4000,6,1
4000,e,1
4286,g,1
4286,c,1
4286,q,1
4286,4,1
4571,5,1
4571,w,1
4857,v,1
4857,k,0
4857,w,1
4857,5,1
5429,k,0
5429,v,1
5714,4,1
5714,q,1
6000,b,1
6000,c,1
6000,4,1
6000,q,1
6286,7,0
6286,r,0
6571,b,1
6571,c,1
6571,9,1
6571,y,1
6857,8,1
6857,t,1
7143,Ctrl+i,1
7143,n,0
7143,0,0
7143,u,0
7714,Ctrl+i,1
7714,n,0
8000,q,1
8000,i,1
8286,Ctrl+y,1
8286,b,1
8286,9,1
8286,y,1
9143,5,1
9143,5,1
9143,w,1
9429,a,0
9429,5,1
9429,5,1
9429,w,1
9714,a,0
9857,p,1
10000,o,1
10143,i,1
10286,o,1
10286,4,1
10286,4,1
10286,q,1
10429,i,1
10571,4,1
10571,4,1
10571,q,1
10714,i,1
10857,5,1
10857,5,1
10857,w,1
11000,o,1
11143,a,0
11143,7,0
11143,7,0
11143,r,0
11286,p,1
11429,a,0
11429,8,1
11429,8,1
11429,t,1
11571,p,1
11714,8,1
11714,8,1
11714,t,1
11857,p,1
12143,o,1
12286,p,1
12429,a,0
12571,7,0
12571,r,0
12714,a,0
12857,p,1
12857,7,0
12857,r,0
13143,o,1
13143,6,1
13143,e,1
13286,o,1
13429,p,1
13429,4,1
13429,q,1
13571,a,0
13714,5,1
13714,w,1
14000,d,1
14000,a,0
14000,5,1
14000,w,1
14143,p,1
14143,s,1
14286,a,0
14286,d,1
14429,s,1
14429,p,1
14571,o,1
14571,a,0
14714,p,1
14714,i,1
14857,a,0
14857,o,1
14857,4,1
14857,q,1
15000,i,1
15000,p,1
15143,4,1
15143,q,1
15286,i,1
15286,p,1
15429,7,0
15429,r,0
15571,p,1
15571,d,1
15714,d,1
15714,a,0
15714,9,1
15714,y,1
15857,s,1
15857,p,1
16000,d,1
16000,a,0
16000,8,1
16000,t,1
16143,p,1
16143,s,1
16286,0,0
16286,u,0
16429,s,1
16429,p,1
16714,o,1
16714,o,1
16857,p,1
16857,p,1
17000,a,0
17000,a,0
17143,q,1
17143,i,1
17286,a,0
17286,a,0
17429,p,1
17429,p,1
17429,9,1
17429,y,1
17714,o,1
17714,o,1
17714,8,1
17714,t,1
17857,p,1
17857,p,1
18000,6,1
18000,e,1
18143,a,0
18143,a,0
18286,w,1
18286,w,1
18286,5,1
18286,5,1
18571,d,1
18571,w,1
18571,w,1
18571,5,1
18571,5,1
18857,a,0
19143,g,1
19429,g,1
19429,y,1
19429,y,1
19429,9,1
19429,9,1
19714,y,1
19714,y,1
19714,9,1
19714,9,1
20000,d,1
20000,i,1
20000,q,1
20286,s,1
20286,y,1
20286,9,1
20571,a,0
20571,r,0
20571,r,0
20571,7,0
20571,7,0
20857,o,1
20857,r,0
20857,r,0
20857,7,0
20857,7,0
21143,a,0
21429,d,1
21714,d,1
21714,w,1
21714,5,1
22000,w,1
22000,5,1
22286,r,0
22286,7,0
22571,g,1
22571,y,1
22571,9,1
22857,f,0
22857,t,1
22857,8,1
23143,d,1
23143,t,1
23143,8,1
23286,s,1
23857,f,0
24000,f,0
24000,t,1
24000,8,1
24286,d,1
24286,t,1
24286,8,1
24429,s,1
24571,w,1
24571,5,1
24714,p,1
24857,e,1
24857,6,1
25000,d,1
25143,y,1
25143,9,1
25429,y,1
25429,9,1
26000,h,0
26286,y,1
26286,9,1
26571,t,1
26571,8,1
26857,r,0
26857,7,0
27429,h,1
27429,9,1
27429,5,1
27429,5,1
27714,h,1
27714,w,1
27714,5,1
27714,5,1
28000,r,0
28286,d,1
28286,t,1
28571,g,1
28571,r,0
28571,4,1
28571,4,1
28714,h,1
28857,g,1
28857,e,1
28857,4,1
28857,4,1
29000,f,0
29000,q,1
29143,d,1
29143,5,1
29143,5,1
29429,9,1
29429,7,0
29429,7,0
29571,d,1
29714,f,0
29714,0,0
29714,8,1
29714,8,1
29857,d,1
30000,s,1
30000,w,1
30000,8,1
30000,8,1
30143,d,1
30286,f,0
30286,r,0
30429,d,1
30571,a,0
30571,u,0
30714,s,1
30857,d,1
30857,y,1
30857,7,0
31000,f,0
31143,d,1
31143,r,0
31143,7,0
31286,a,0
31286,e,1
31429,s,1
31429,6,1
31714,q,1
31714,4,1
32000,h,1
32000,w,1
32000,5,1
32286,h,1
32286,9,1
32286,5,1
32571,w,1
32857,d,1
32857,t,1
33000,d,1
33143,g,1
33143,r,0
33143,4,1
33286,h,1
33429,g,1
33429,e,1
33429,4,1
33571,f,0
33571,q,1
33714,d,1
33714,7,0
34000,9,1
34000,9,1
34143,d,1
34286,f,0
34286,0,0
34286,8,1
34571,h,1
34571,w,1
34571,0,0
34714,h,0
34857,r,0
35000,h,1
35143,h,0
35286,h,1
35429,j,1
35429,i,1
35429,q,1
35714,y,1
35714,9,1
36000,t,1
36000,8,1
36286,e,1
36286,6,1
