# initial_tempo=120 bpm
# tempo_change_tick=0 bpm=120
# tempo_change_tick=0 bpm=100
# tempo_change_tick=220800 bpm=92
# tempo_change_tick=221280 bpm=88
# tempo_change_tick=221760 bpm=84
# tempo_change_tick=222240 bpm=80
# tempo_change_tick=222720 bpm=76
time_ms,key,shift
0,s,1
0,8,1
0,w,1
0,t,1
900,f,0
1200,d,1
1200,5,1
1200,9,1
1200,w,1
2100,h,1
2400,h,1
2400,6,0
2400,0,0
2400,e,0
3300,g,1
3450,f,0
3600,d,1
3600,7,0
3600,q,1
3600,r,0
3900,f,0
4200,a,0
4500,o,1
4800,p,0
4800,4,1
4800,8,1
4800,q,1
5400,s,1
5700,f,0
6000,f,0
6000,5,1
6000,9,1
6000,w,1
6600,d,1
6900,f,0
7200,k,0
7800,p,0
7800,s,1
7800,j,0
7800,Ctrl+e,0
7800,3,0
7800,6,0
8400,a,0
8400,d,1
8400,k,0
8400,Ctrl+t,0
8400,4,1
8400,7,0
9000,s,1
9000,g,0
9000,l,1
9000,1,1
9000,5,1
9000,8,1
9600,d,1
9600,y,1
9600,i,1
9600,2,1
9600,2,1
9750,6,1
9900,9,1
10050,6,1
10200,q,1
10350,6,1
10500,i,1
10500,g,1
10500,9,1
10650,6,1
10800,g,0
10800,i,0
10800,p,1
10800,Ctrl+r,1
10800,Ctrl+r,1
10950,4,0
11100,6,1
11250,4,0
11400,8,1
11550,4,0
11700,p,1
11700,j,1
11700,6,1
11850,4,0
12000,j,1
12000,p,1
12000,d,1
12000,Ctrl+t,0
12000,Ctrl+t,0
12150,4,1
12300,7,0
12450,4,1
12600,9,1
12750,4,1
12900,h,1
12900,7,0
13050,g,1
13050,4,1
13200,g,0
13200,i,0
13200,s,1
13200,1,1
13200,1,1
13350,5,1
13500,g,1
13500,i,1
13500,a,0
13500,8,1
13650,5,1
13800,s,1
13800,t,1
13800,p,1
13800,q,0
13950,5,1
14100,p,1
14100,e,1
14100,i,0
14100,8,1
14250,5,1
14400,a,0
14400,r,0
14400,i,1
14400,Ctrl+w,1
14400,Ctrl+w,1
14550,2,1
14700,5,1
14850,2,1
15000,d,1
15000,y,1
15000,a,0
15000,7,0
15150,2,1
15300,g,1
15300,i,1
15300,a,0
15300,5,1
15450,2,1
15600,g,1
15600,i,1
15600,s,1
15600,Ctrl+r,1
15600,Ctrl+r,1
15750,4,0
15900,6,1
16050,4,0
16200,g,0
16200,i,0
16200,p,1
16200,8,1
16350,4,0
16500,g,1
16500,i,1
16500,o,1
16500,6,1
16650,4,0
16800,l,1
16800,s,1
16800,g,1
16800,Ctrl+t,0
16800,Ctrl+t,0
16950,4,1
17100,7,0
17250,k,0
17250,a,0
17250,d,1
17250,4,1
17400,9,1
17550,4,1
17700,j,1
17700,p,1
17700,g,1
17700,7,0
17850,4,1
18000,g,0
18000,h,1
18000,o,1
18000,1,1
18000,1,1
18150,p,1
18150,5,1
18300,o,1
18300,q,0
18450,i,1
18450,5,1
18600,i,0
18600,2,0
18600,2,0
18750,y,0
18750,6,1
18900,o,1
18900,9,0
19050,i,0
19050,6,1
19200,g,1
19200,i,1
19200,d,1
19200,2,1
19200,2,1
19350,6,1
19500,9,1
19650,g,0
19650,i,0
19650,p,1
19650,6,1
19800,q,1
19950,6,1
20100,g,1
20100,i,1
20100,p,1
20100,9,1
20250,6,1
20400,j,1
20400,p,1
20400,g,0
20400,1,1
20400,1,1
20550,6,1
20700,8,1
20850,6,1
21000,q,0
21150,6,1
21300,g,0
21300,i,0
21300,p,1
21300,8,1
21450,6,1
21600,d,1
21600,y,1
21600,s,0
21600,1,0
21600,1,0
21750,5,1
21900,8,0
22050,5,1
22200,9,1
22350,5,1
22500,8,0
22650,5,1
22800,d,1
22800,y,1
22800,o,1
22800,Ctrl+w,1
22800,Ctrl+w,1
22950,2,1
23100,g,1
23100,i,1
23100,s,0
23100,5,1
23250,8,0
23400,h,1
23400,o,1
23400,d,1
23400,4,1
23400,4,1
23550,8,0
23700,j,1
23700,p,1
23700,g,1
23700,q,1
23850,8,0
24000,k,0
24000,a,0
24000,h,1
24000,3,0
24000,3,0
24150,7,0
24300,0,0
24450,j,1
24450,p,1
24450,g,1
24450,7,0
24600,w,1
24750,7,0
24900,h,1
24900,o,1
24900,a,0
24900,0,0
25050,7,0
25200,g,1
25200,i,1
25200,p,1
25200,Ctrl+t,0
25200,Ctrl+t,0
25350,4,1
25500,d,1
25500,y,1
25500,i,1
25500,7,0
25650,4,1
25800,g,1
25800,i,1
25800,p,1
25800,9,1
25950,4,1
26100,j,1
26100,p,1
26100,d,1
26100,7,0
26250,4,1
26400,h,1
26400,o,1
26400,s,1
26400,1,1
26400,1,1
26550,5,1
26700,8,1
26850,q,0
27000,w,1
27150,q,0
27300,8,1
27600,i,0
27600,s,1
27600,g,0
27600,1,1
