# initial_tempo=120 bpm
# tempo_change_tick=0 bpm=120
# tempo_change_tick=0 bpm=190
# tempo_change_tick=218400 bpm=95
# tempo_change_tick=224160 bpm=190
time_ms,key,shift
0,Ctrl+e,0
0,6,0
158,6,0
316,6,0
474,Ctrl+e,0
474,6,0
632,6,0
789,6,0
947,6,0
1105,6,0
1263,6,0
1421,6,0
1579,6,0
1737,6,0
1895,6,0
2053,6,0
2211,6,0
2368,6,0
2526,Ctrl+e,0
2526,6,0
2684,6,0
2842,6,0
3000,Ctrl+e,0
3000,6,0
3158,6,0
3316,6,0
3474,6,0
3632,6,0
3789,6,0
3947,6,0
4105,6,0
4263,6,0
4421,6,0
4579,6,0
4737,6,0
4895,6,0
5053,7,0
5053,Ctrl+1,0
5053,Ctrl+e,0
5211,6,0
5368,6,0
5526,8,0
5526,Ctrl+1,0
5526,Ctrl+e,0
5684,6,0
5842,6,0
6000,9,0
6158,6,0
6316,6,0
6474,0,0
6632,6,0
6789,6,0
6947,q,0
7105,6,0
7263,6,0
7421,q,0
7579,0,0
7579,Ctrl+1,0
7579,Ctrl+e,0
7737,6,0
7895,6,0
8053,9,0
8053,Ctrl+1,0
8053,Ctrl+e,0
8211,6,0
8368,6,0
8526,8,0
8684,6,0
8842,6,0
9000,7,0
9158,6,0
9316,6,0
9474,8,0
9632,u,0
9789,p,0
9947,a,0
10105,u,0
10105,p,0
10105,s,0
10105,Ctrl+e,0
10105,6,0
10263,6,0
10421,0,0
10579,d,0
10579,6,0
10737,u,0
10737,o,1
10737,a,0
10737,Ctrl+w,1
10737,5,1
10895,5,1
11053,0,0
11211,s,0
11211,5,1
11368,t,0
11368,u,0
11368,p,0
11368,Ctrl+e,0
11368,6,0
11526,6,0
11684,0,0
11842,6,0
12000,Ctrl+e,0
12000,6,0
12158,p,0
12158,6,0
12237,o,1
12316,p,0
12316,0,0
12395,a,0
12474,s,0
12474,6,0
12553,d,0
12632,p,0
12632,s,0
12632,f,0
12632,Ctrl+e,0
12632,6,0
12789,0,0
12947,p,0
12947,s,0
12947,f,0
12947,e,0
13105,0,0
13263,o,1
13263,a,0
13263,f,0
13263,Ctrl+t,0
13263,7,0
13421,w,0
13579,o,1
13579,a,0
13579,f,0
13579,r,0
13737,w,0
13895,o,0
13895,s,0
13895,f,0
13895,1,0
13895,8,0
14053,w,0
14211,t,0
14368,w,0
14526,1,0
14526,8,0
14684,w,0
14842,d,0
14842,t,0
15000,f,0
15000,w,0
15158,p,0
15158,d,0
15158,g,0
15158,2,0
15158,9,0
15316,6,0
15474,q,0
15632,9,0
15789,u,0
15789,o,1
15789,a,0
15789,3,0
15789,0,0
15947,7,0
16105,s,0
16105,w,1
16263,d,0
16263,0,0
16421,p,0
16421,s,0
16421,f,0
16421,Ctrl+e,0
16421,6,0
16579,0,0
16737,t,0
16895,e,0
17053,y,0
17053,i,1
17053,p,0
17053,Ctrl+0,1
17053,4,1
17211,9,0
17368,p,0
17368,q,1
17526,a,0
17526,9,0
17684,y,1
17684,p,0
17684,s,0
17684,2,1
17684,9,1
17842,8,0
18000,9,1
18158,d,0
18158,8,0
18316,y,0
18316,o,1
18316,a,0
18316,3,0
18316,0,0
18474,7,0
18632,0,0
18789,s,0
18789,7,0
18947,e,0
18947,t,0
18947,u,0
18947,p,0
18947,Ctrl+e,0
18947,6,0
19105,8,0
19263,0,0
19421,w,1
19579,e,0
19737,u,0
19895,p,0
20053,a,0
20210,u,0
20210,p,0
20210,s,0
20210,Ctrl+e,0
20210,6,0
20368,6,0
20526,0,0
20684,d,0
20684,6,0
20842,u,0
20842,o,1
20842,a,0
20842,Ctrl+w,1
20842,5,1
21000,5,1
21158,0,0
21316,s,0
21316,5,1
21474,t,0
21474,u,0
21474,p,0
21474,Ctrl+e,0
