# initial_tempo=120 bpm
# tempo_change_tick=0 bpm=120
# tempo_change_tick=0 bpm=162
# tempo_change_tick=0 bpm=162
# tempo_change_tick=0 bpm=162
time_ms,key,shift
0,h,0
0,d,1
0,s,0
0,8,0
741,9,0
1111,9,1
1481,s,0
1481,h,1
1481,g,0
1481,q,0
2222,8,0
2593,q,0
2963,j,0
2963,f,0
2963,s,0
2963,0,0
3704,8,0
4074,6,0
4444,h,1
4444,g,0
4444,s,0
4444,5,1
5185,4,0
5926,h,0
5926,d,1
5926,s,0
5926,1,0
6019,Ctrl+q,0
6111,2,1
6204,1,0
6296,5,0
6389,2,1
6481,8,0
6574,5,0
6667,9,1
6759,8,0
6852,w,0
6944,9,1
7037,t,0
7130,w,0
7222,9,1
7315,8,0
7407,s,0
7407,h,1
7407,g,0
7407,4,0
7500,1,0
7593,5,1
7685,4,0
7778,8,0
7870,5,1
7963,q,0
8056,8,0
8148,w,1
8241,q,0
8333,t,0
8426,w,1
8519,i,0
8611,t,0
8704,w,1
8796,q,0
8889,j,0
8889,f,0
8889,s,0
8889,6,0
8981,3,0
9074,8,0
9167,6,0
9259,0,0
9352,8,0
9444,e,0
9537,0,0
9630,t,0
9722,e,0
9815,u,0
9907,t,0
10000,p,0
10093,u,0
10185,t,0
10278,e,0
10370,h,1
10370,g,0
10370,s,0
10370,q,0
10463,8,0
10556,5,1
10648,4,0
10741,8,0
10833,5,1
10926,q,0
11019,8,0
11111,w,1
11204,q,0
11296,t,0
11389,w,1
11481,i,0
11574,t,0
11667,w,1
11759,q,0
11852,s,0
11852,t,0
11944,w,0
12037,t,0
12130,y,1
12222,d,0
12222,y,0
12315,w,0
12407,y,0
12500,i,0
12593,d,1
12593,y,1
12685,w,0
12778,y,1
12870,o,0
12963,g,0
12963,i,0
13056,y,0
13148,y,1
13241,t,0
13333,a,0
13333,r,0
13426,w,0
13519,r,0
13611,y,0
13704,g,0
13704,i,0
13796,y,0
13889,i,0
13981,o,0
14074,k,0
14074,a,0
14444,r,0
14537,t,0
14630,y,0
14722,y,1
14815,o,0
14815,8,0
14907,2,1
15000,5,0
15093,2,1
15185,8,0
15278,2,1
15370,5,0
15463,2,1
15556,8,0
15648,2,1
15741,5,0
15833,2,1
15926,8,0
16019,2,1
16111,5,0
16204,2,1
16296,i,0
16296,6,1
16389,2,1
16481,5,0
16574,2,1
16667,6,1
16759,2,1
16852,5,0
16944,2,1
17037,o,1
17037,8,0
17130,4,0
17222,5,1
17315,4,0
17407,8,0
17500,4,0
17593,5,1
17685,4,0
17778,o,0
17778,8,0
17778,1,0
17870,w,0
17963,t,0
18056,y,1
18056,5,0
18056,1,0
18148,w,0
18241,t,0
18333,i,0
18333,6,1
18333,1,0
18426,w,0
18518,t,0
18611,y,0
18611,4,0
18611,1,0
18704,w,0
18796,t,0
18889,y,1
18889,2,1
18889,1,0
18981,y,0
19074,t,0
19074,1,0
19167,w,0
19259,o,0
19259,8,0
19259,1,0
19352,w,0
19444,t,0
19537,y,1
19537,5,0
19537,1,0
19630,w,0
19722,t,0
19815,i,0
19815,6,1
19815,1,0
19907,w,0
20000,t,0
20093,y,0
20093,4,0
20093,1,0
20185,w,0
20278,t,0
20370,y,1
20370,8,0
20370,1,0
20463,y,0
20556,y,1
20556,9,0
20556,1,0
20648,i,0
20741,o,1
20741,y,1
20741,8,0
20833,4,0
20926,5,1
21018,4,0
21111,8,0
21204,4,0
21296,5,1
21389,4,0
21481,s,0
21481,d,1
21481,8,0
21574,4,0
21667,5,1
21759,4,0
21852,8,0
21944,4,0
22037,5,1
22130,4,0
22222,p,1
22222,d,0
22222,9,0
22315,4,0
22407,6,1
22500,4,0
22593,9,0
22685,4,0
22778,6,1
22870,4,0
22963,o,1
22963,9,0
23056,4,0
23148,6,1
23241,4,0
23333,p,1
23333,9,0
23426,4,0
23518,6,1
23611,4,0
23704,s,0
23704,5,0
23704,1,0
23796,t,0
23889,o,0
23981,d,0
23981,8,0
23981,1,0
24074,t,0
24167,o,0
24259,s,0
24259,4,0
24259,1,0
24352,t,0
24444,o,0
24537,d,1
24537,5,0
24537,1,0
24630,t,0
24722,o,0
24815,d,0
24815,2,1
24815,1,0
24907,d,1
25000,d,0
25000,4,0
25000,1,0
25093,p,1
25185,s,0
25185,5,0
25185,1,0
25278,t,0
25370,o,0
25463,p,1
25463,2,1
25463,1,0
25556,t,0
25648,i,0
25741,o,0
25741,4,0
25741,1,0
25833,y,1
25926,i,0
26018,y,1
26018,2,0
26018,1,0
26111,i,0
26204,o,0
26296,y,1
26296,o,1
26296,2,1
26296,1,0
26389,o,0
26389,y,0
26481,y,1
26481,o,1
26481,Ctrl+r,1
26481,1,0
26574,p,1
26574,i,0
26667,o,0
26667,8,0
26759,2,1
26852,5,0
26944,2,1
27037,8,0
27130,2,1
27222,5,0
27315,2,1
27407,8,0
27500,2,1
27593,5,0
27685,2,1
27778,8,0
27870,2,1
27963,5,0
28056,2,1
28148,i,0
28148,6,1
28241,2,1
28333,5,0
28426,2,1
28518,6,1
28611,2,1
28704,5,0
28796,2,1
28889,o,1
28889,8,0
28981,4,0
29074,5,1
29167,4,0
29259,8,0
29352,4,0
29444,5,1
29537,4,0
29630,o,0
29630,8,0
29630,1,0
29722,w,0
29815,t,0
29907,y,1
29907,5,0
29907,1,0
30000,w,0
30093,t,0
30185,i,0
30185,6,1
30185,1,0
30278,w,0
30370,t,0
30463,y,0
30463,4,0
30463,1,0
30556,w,0
30648,t,0
30741,y,1
30741,2,1
30741,1,0
30833,i,0
30926,o,0
30926,1,0
31018,o,1
31111,p,1
31111,8,0
31111,1,0
31204,w,0
31296,t,0
31389,o,0
31389,5,0
31389,1,0
31481,w,0
31574,t,0
31667,o,1
31667,6,1
31667,1,0
31759,w,0
31852,t,0
31944,i,0
31944,4,0
31944,1,0
32037,w,0
32130,t,0
32222,o,0
32222,1,0
32222,8,0
32315,i,0
32407,y,1
32407,1,0
32407,9,0
32500,t,0
32593,o,1
32593,t,0
32593,y,1
32593,8,0
32685,4,0
32778,5,1
32870,4,0
32963,8,0
33056,4,0
33148,5,1
33241,4,0
33333,d,1
33333,o,1
33333,s,0
33333,8,0
33426,4,0
33518,5,1
33611,4,0
33704,8,0
33796,4,0
33889,5,1
33981,4,0
34074,i,0
34074,p,1
34074,d,0
34074,9,0
34167,4,0
34259,6,1
34352,4,0
34444,9,0
34537,4,0
34630,6,1
34722,4,0
34815,g,0
34815,p,1
34815,d,0
34815,9,0
34907,4,0
35000,6,1
35093,4,0
35185,9,0
