# initial_tempo=120 bpm
# tempo_change_tick=0 bpm=120
# tempo_change_tick=0 bpm=202
time_ms,key,shift
0,x,0
50,c,1
99,v,1
149,b,0
149,2,0
297,6,0
371,v,1
446,0,0
594,x,0
594,t,1
594,u,0
594,e,0
594,q,1
594,9,0
1188,x,0
1262,c,1
1337,x,0
1337,3,0
1485,7,0
1559,k,0
1634,q,1
1782,k,0
1782,q,1
1785,u,0
1788,w,1
1788,r,0
2079,j,0
2228,k,0
2376,x,0
2525,l,1
2525,4,1
2673,8,1
2748,k,0
2822,w,1
2970,j,0
2970,t,1
2970,i,1
2970,a,0
2973,w,1
3416,h,1
3564,f,0
4307,s,1
4307,0,0
4604,f,0
4604,7,0
4901,g,1
4901,2,0
5050,6,0
5124,p,0
5198,0,0
5334,q,1
5347,p,0
5347,t,1
5347,e,0
5347,9,0
5347,u,0
5792,o,1
5941,p,0
6089,3,0
6238,7,0
6386,o,1
6386,q,1
6535,p,0
6535,q,1
6535,w,1
6535,r,0
6535,u,0
6609,o,1
6683,p,0
6832,f,0
6980,g,1
7129,s,1
7277,4,1
7426,8,1
7574,w,1
7723,w,1
7723,i,1
7723,t,1
7723,a,0
8465,t,1
8465,q,1
9059,u,0
9208,k,0
9208,r,0
9356,l,1
9356,e,0
9505,x,0
9505,w,1
9653,l,1
9653,b,0
9653,s,1
9653,t,1
9653,Ctrl+6,0
9653,9,0
9653,q,1
9653,e,0
9653,t,1
9802,9,0
9802,2,0
9876,k,0
9876,v,1
9876,i,1
9876,q,1
9951,Ctrl+6,0
10025,9,0
10099,j,0
10099,x,0
10099,s,1
10099,t,1
10099,2,0
10248,9,0
10248,Ctrl+6,0
10322,a,0
10322,r,0
10396,2,0
10470,9,0
10545,s,1
10545,t,1
10545,Ctrl+6,0
10693,x,0
10693,f,0
10693,u,0
10693,2,0
10767,c,1
10842,x,0
10842,l,1
10842,s,1
10842,t,1
10842,Ctrl+8,0
10842,0,0
10842,w,1
10842,r,0
10842,u,0
10990,0,0
10990,3,0
11064,k,0
11064,h,1
11064,f,0
11064,u,0
11139,Ctrl+8,0
11213,0,0
11287,l,1
11287,x,0
11287,g,1
11287,i,1
11287,3,0
11436,0,0
11436,Ctrl+8,0
11510,k,0
11510,h,1
11510,f,0
11510,u,0
11584,3,0
11658,0,0
11733,j,0
11733,p,0
11733,e,0
11733,Ctrl+8,0
11807,0,0
11881,g,1
11881,i,1
11881,q,1
11881,3,0
11955,0,0
12030,j,0
12030,l,1
12030,s,1
12030,t,1
12030,Ctrl+0,1
12030,i,1
12030,e,0
12030,t,1
12030,q,1
12178,q,1
