# initial_tempo=120 bpm
# tempo_change_tick=0 bpm=120
# tempo_change_tick=0 bpm=200
time_ms,key,shift
1200,z,1
1200,6,1
1350,d,1
1500,p,1
1650,z,0
1650,g,1
1725,i,1
1800,d,1
1950,p,1
2100,j,1
2100,e,1
2250,d,1
2400,p,1
2400,y,0
2550,g,0
2700,p,1
2700,y,1
2850,y,1
3000,p,1
3000,i,0
3150,d,1
3300,g,0
3300,e,1
3450,j,1
3600,z,1
3600,p,1
3600,j,1
3750,d,1
3900,p,1
3900,d,0
4050,z,0
4050,j,1
4200,d,1
4200,b,1
4250,b,0
4300,v,1
4350,p,1
4350,d,1
4350,j,1
4350,v,0
4400,c,1
4450,c,0
4500,j,1
4500,j,1
4500,x,0
4550,z,1
4600,z,0
4650,d,1
4650,l,1
4700,l,0
4750,k,0
4800,p,1
4800,j,1
4950,j,1
5100,j,1
5250,j,1
5250,z,1
6000,e,1
6000,z,1
6000,d,1
6000,9,1
6000,2,1
6000,o,1
6000,y,1
6000,e,1
6050,c,0
6050,g,0
6100,9,1
6200,w,1
6300,w,0
6400,q,0
6450,z,1
6450,d,1
6500,9,1
6600,6,1
6700,9,1
6800,q,0
6900,e,1
6900,b,1
6900,j,1
7000,y,1
7100,i,0
7200,p,1
7200,2,1
7300,y,1
7400,o,1
7500,o,0
7600,i,0
7700,y,1
7800,e,1
7900,y,1
8000,i,0
8100,p,1
8200,d,1
8300,g,0
8400,j,1
8400,n,0
8400,2,1
8400,p,1
8400,y,1
8400,e,1
8450,b,1
8500,d,1
8500,n,0
8550,b,1
8600,h,1
8600,n,0
8650,b,1
8700,h,0
8700,n,0
8750,b,1
8800,g,0
8800,n,0
8850,b,1
8900,d,1
8900,n,0
8950,b,1
9000,p,1
9000,n,0
9050,b,1
9100,d,1
9100,n,0
9150,b,1
9200,g,0
9200,n,0
9250,b,1
9300,j,1
9300,j,1
9300,p,1
9400,z,1
9450,b,1
9450,j,1
9500,c,0
9600,4,0
9600,v,1
9600,h,1
9600,2,1
9600,e,1
9600,q,0
9600,y,1
9675,6,1
9750,9,1
9825,q,0
9900,e,1
9975,y,1
10050,i,0
10050,v,0
10050,h,0
10125,p,1
10200,d,1
10275,g,0
10350,j,1
10425,z,1
10500,c,0
10500,z,1
10500,d,1
10575,b,1
10650,Ctrl+i,1
10725,Ctrl+p,0
10800,e,1
10800,z,1
10800,d,1
10800,q,1
10800,4,1
10800,y,1
10800,t,1
10800,e,1
10800,i,1
10850,c,0
10850,g,0
10900,9,1
11000,w,1
11100,q,1
11200,q,0
11250,z,1
11250,d,1
11300,8,1
11400,6,1
11500,9,1
11600,q,0
11700,e,1
11700,b,1
11700,j,1
11800,y,1
11900,i,0
12000,p,1
12000,4,1
12100,y,1
12200,o,1
12300,i,1
12400,i,0
12500,t,1
12600,e,1
12700,y,1
12800,i,0
12900,p,1
13000,d,1
13100,g,0
13200,j,1
13200,n,0
13200,4,1
13250,b,1
13300,d,1
13300,n,0
13350,b,1
13400,h,1
13400,n,0
13450,b,1
13500,g,1
13500,n,0
13550,b,1
13600,g,0
13600,n,0
13650,b,1
13700,s,1
13700,n,0
13750,b,1
13800,p,1
13800,n,0
13850,b,1
13900,d,1
13900,n,0
13950,b,1
14000,g,0
14000,n,0
14050,b,1
14100,j,1
14100,j,1
14100,p,1
14200,z,1
14250,b,1
14250,j,1
14300,c,0
14400,4,0
14400,v,1
14400,h,1
14400,4,1
14475,6,1
14550,9,1
14625,q,0
14700,e,1
14775,y,1
14850,i,0
14850,v,0
14850,h,0
14925,p,1
15000,d,1
15075,g,0
15150,j,1
15225,z,1
15300,c,0
15300,z,1
15300,d,1
15375,b,1
15450,Ctrl+i,1
15525,Ctrl+p,0
15600,e,1
15600,z,1
15600,d,1
15600,8,0
15600,1,0
15600,w,1
15600,t,0
15600,y,1
15600,9,1
15650,c,0
15650,g,0
15700,9,1
15800,w,1
15900,q,1
16000,q,0
16050,z,1
16050,d,1
16100,8,1
16200,6,1
16300,9,1
16400,q,0
16500,e,1
16500,b,1
16500,j,1
16600,y,1
16700,i,0
16800,p,1
16800,1,0
16900,y,1
17000,o,1
17100,i,1
17200,i,0
17300,t,1
17400,e,1
17500,y,1
17600,i,0
17700,p,1
17800,d,1
17900,g,0
18000,j,1
18000,n,0
18000,1,0
18000,y,1
18000,p,1
18050,b,1
18100,d,1
18100,n,0
18150,b,1
18200,h,1
18200,n,0
18250,b,1
18300,g,1
18300,n,0
18350,b,1
18400,g,0
18400,n,0
18450,b,1
18500,s,1
18500,n,0
18550,b,1
18600,p,1
18600,n,0
18650,b,1
18700,d,1
18700,n,0
18750,b,1
18800,g,0
18800,n,0
18850,b,1
18900,j,1
18900,j,1
18900,p,1
19000,z,1
19050,b,1
19050,j,1
19100,c,0
19200,4,0
19200,v,1
19200,h,1
19200,1,0
19200,w,1
19275,6,1
19350,9,1
19425,q,0
19500,e,1
19575,y,1
19650,i,0
19650,v,0
19650,h,0
19725,p,1
19800,d,1
19800,w,0
19875,g,0
19950,j,1
20025,z,1
20100,c,0
20100,z,1
20100,d,1
20175,b,1
20250,Ctrl+i,1
20325,Ctrl+p,0
20400,e,1
20400,z,1
20400,d,1
20400,7,0
20400,Ctrl+t,0
20400,e,1
20400,w,1
20400,9,1
20400,y,1
20450,c,0
20450,g,0
20500,9,1
20600,p,1
20700,i,0
20800,y,1
20900,e,1
21000,6,1
21100,9,1
21150,d,1
21150,y,1
21200,q,0
21225,g,0
21225,i,0
21300,e,1
21300,j,1
21300,p,1
21375,z,1
21375,d,1
21400,y,1
21450,c,0
21450,g,0
21500,i,0
21525,b,1
21525,j,1
21600,p,1
21600,Ctrl+u,0
21600,z,0
21600,Ctrl+t,0
21650,Ctrl+i,1
21650,z,1
21700,y,1
21800,j,1
21900,g,0
22000,d,1
22100,p,1
22200,e,1
22300,y,1
22350,p,1
22350,e,1
22400,i,0
22425,d,1
22425,y,1
22500,p,1
22500,g,0
22500,i,0
22575,j,1
22575,p,1
22600,d,1
22650,z,1
22650,d,1
22700,g,0
22725,c,0
22725,g,0
22800,j,1
22800,b,0
22800,j,0
22800,8,1
22800,1,1
22800,w,1
22800,e,1
22800,q,0
22800,t,1
22850,b,1
22850,j,1
22900,d,1
23000,h,1
23100,g,1
23200,g,0
23300,s,1
23400,p,1
23500,d,1
23600,g,0
23700,j,1
23800,z,1
23900,c,0
24000,b,1
24000,1,1
24050,b,0
24100,b,1
24150,b,0
24200,b,1
24250,b,0
24300,b,1
24350,b,0
24400,b,1
24450,b,0
24500,b,1
24550,b,0
24600,b,1
24650,b,0
24700,b,1
24750,b,0
24800,b,1
24850,b,0
25200,d,1
25200,9,1
25200,2,1
25200,e,1
25200,y,1
25200,q,0
25300,p,1
25350,2,1
25400,d,1
25500,s,1
25500,9,1
25600,o,1
25650,2,1
25700,s,1
25725,9,1
25800,a,0
25800,2,1
25900,i,1
25950,2,1
26000,a,0
26100,p,0
26100,9,1
26200,u,0
26250,2,1
26300,p,0
26400,p,1
26400,9,1
26400,2,1
26500,i,0
26550,6,1
26588,6,1
26600,p,1
26625,6,1
26663,6,1
26700,o,1
26700,q,0
26738,q,0
26775,q,0
26800,y,1
26813,q,0
26850,q,0
26900,o,1
27000,i,1
27000,2,1
27100,t,1
27150,9,1
27200,i,1
27300,u,0
27300,2,1
27375,r,0
27375,9,1
27450,u,0
27450,2,1
27525,a,0
27525,9,1
27600,d,1
27600,2,1
27700,p,1
27750,2,1
27800,d,1
27900,s,1
27900,6,1
27938,6,1
27975,6,1
28000,o,1
28013,6,1
28100,s,1
28200,a,0
28300,i,1
28350,9,1
28350,2,1
28400,a,0
28500,p,0
28500,2,1
28600,u,0
28650,9,1
28700,p,0
28800,p,1
28800,q,0
28825,q,0
28850,q,0
28875,q,0
28900,i,0
28900,q,0
28925,q,0
28950,6,1
28988,6,1
29000,p,1
29025,6,1
29063,6,1
29100,o,1
29200,y,1
29225,2,1
29300,o,1
29400,i,1
29400,9,1
29400,2,1
29450,t,1
29500,s,1
29550,i,1
29550,2,1
29600,f,0
29625,9,1
29650,g,1
29700,a,0
29700,2,1
29700,9,1
29750,f,0
29800,p,0
29800,2,1
29800,9,1
29850,f,0
29900,g,1
29900,2,1
29900,9,1
29950,h,1
30000,d,1
30000,9,1
30000,2,1
30000,q,0
30000,e,1
30000,y,1
30100,p,1
30150,j,1
30150,2,1
30200,d,1
30300,s,1
30300,9,1
30400,o,1
30450,h,1
30450,2,1
30500,s,1
30525,9,1
30600,a,0
30600,2,1
30700,i,1
30750,g,1
30750,2,1
30800,a,0
30900,p,0
30900,9,1
31000,u,0
31050,f,0
31050,2,1
31100,p,0
31200,p,1
31200,2,1
31200,9,1
31300,i,0
31350,g,0
31350,6,1
31388,6,1
31400,p,1
31425,6,1
31463,6,1
31500,o,1
31500,q,0
31538,q,0
31575,q,0
31600,y,1
31613,q,0
31650,d,1
31650,q,0
31700,o,1
31800,i,1
31800,2,1
31900,t,1
31950,s,1
31950,9,1
32000,i,1
32100,u,0
32100,2,1
32175,r,0
32175,9,1
32250,u,0
32250,2,1
32325,a,0
32325,9,1
32400,d,1
32400,2,1
32500,p,1
32550,j,1
32550,2,1
32600,d,1
32700,s,1
32700,6,1
32738,6,1
32775,6,1
32800,o,1
32813,6,1
32850,h,1
32900,s,1
33000,a,0
33100,i,1
33150,g,1
33150,9,1
33150,2,1
33200,a,0
33300,p,0
33300,2,1
33400,u,0
33450,f,0
33450,9,1
33500,p,0
33600,p,1
33600,q,0
33625,q,0
33650,q,0
33675,q,0
33700,i,0
33700,q,0
33725,q,0
33750,g,0
33750,6,1
33788,6,1
33800,p,1
33825,6,1
33863,6,1
33900,o,1
34000,y,1
34025,2,1
34050,d,1
34100,o,1
34200,i,1
34200,9,1
34200,2,1
34250,t,1
34300,s,1
34350,i,1
34350,2,1
34400,f,0
34425,9,1
34450,g,1
34500,a,0
34500,2,1
34500,9,1
34550,f,0
34600,p,0
34600,2,1
34600,9,1
34650,f,0
34700,g,1
34700,9,1
34700,2,1
34750,h,1
34800,z,1
34800,t,0
34800,h,0
34800,9,1
34950,o,0
35100,s,0
35100,8,0
35250,d,0
35400,d,1
35400,8,0
35550,h,0
35700,z,1
35700,6,1
35850,h,0
36000,z,0
36000,9,1
36000,8,0
36150,h,0
36300,l,0
36300,t,0
36300,q,0
36300,8,0
36450,h,0
36600,g,0
36600,j,1
36600,w,1
36600,e,1
36750,y,1
36900,o,1
36900,5,1
37050,p,1
37200,s,0
37200,5,1
37350,d,1
37500,j,1
37650,p,1
37800,s,0
37800,5,1
37950,d,1
38100,g,0
38100,t,0
38100,5,1
38250,l,0
38400,g,0
38400,e,1
38400,e,1
38413,j,1
38550,i,0
38700,p,1
38700,6,1
38850,d,0
39000,g,0
39000,6,1
39150,j,1
39300,j,1
39300,g,0
39300,w,1
39450,p,1
39600,h,0
39600,z,1
39600,6,1
39750,p,1
39900,c,0
39900,h,1
39900,6,1
40050,p,1
40200,y,1
40200,w,0
40203,c,0
40213,j,1
40225,v,0
40350,p,1
40500,v,1
40500,j,1
40500,g,0
40500,9,1
40650,p,1
40800,h,0
40800,j,1
40800,b,1
40800,9,1
40950,p,1
41100,c,0
41100,k,0
41100,w,0
41100,o,0
41250,h,0
41400,z,1
41400,k,0
41400,7,0
41550,h,0
41550,7,0
41550,r,0
41700,z,0
41700,k,0
41700,5,0
41850,h,0
42000,d,1
42000,8,0
42000,8,0
42016,z,1
42025,h,0
42025,j,1
42150,w,0
42300,t,0
42300,8,0
42450,y,0
42600,h,0
42600,y,1
42600,8,0
42750,l,0
42750,o,0
42900,d,1
42900,h,0
42900,z,1
43050,d,0
43200,p,1
43200,y,0
43200,8,0
43350,o,0
43500,l,0
43500,y,1
43500,m,0
43500,t,0
43500,8,0
43650,y,0
43800,5,1
43800,z,1
43800,j,1
43800,e,1
43809,v,0
43825,b,1
43950,9,1
44100,w,1
44100,5,1
44250,e,1
44400,t,0
44400,5,1
44550,y,1
44700,z,1
44700,Ctrl+i,1
44700,s,0
44700,y,1
44850,p,1
45000,o,1
45000,Ctrl+u,0
45000,z,0
45000,5,1
45150,y,1
45300,t,0
45300,Ctrl+i,1
45300,z,1
45300,5,1
45450,w,1
45600,j,1
45600,e,1
45600,b,1
45600,i,0
45613,z,0
45616,c,0
45750,i,0
45900,p,1
45900,6,1
46050,i,0
46200,d,0
46200,6,1
46350,i,0
46500,j,1
46500,g,0
46500,d,0
46500,6,1
46500,e,1
46800,e,1
46800,z,1
46800,h,0
46800,d,1
46800,6,1
47100,6,1
47100,g,0
47100,j,1
47100,c,0
47100,e,1
47400,h,0
47400,9,1
47400,j,1
47400,v,0
47400,y,1
47400,o,0
47700,h,1
47700,v,1
47700,9,1
47700,j,1
47700,y,1
47700,o,1
48000,v,0
48000,9,1
48000,j,1
48000,y,1
48000,o,0
48006,b,1
48300,r,0
48300,g,0
48300,k,0
48300,7,0
48300,i,0
48312,c,0
48600,r,0
48600,h,0
48600,7,0
48600,z,1
48600,d,1
48600,y,1
48900,g,0
48900,Ctrl+q,0
48900,5,0
48900,z,0
48900,d,0
48900,y,0
49200,d,1
49200,8,0
49200,o,0
49200,1,0
49200,9,1
49350,w,0
49350,1,0
49500,t,0
49500,8,0
49650,y,0
49650,1,0
49725,1,0
49800,y,1
49800,o,0
49800,p,1
49800,8,0
49800,1,0
49950,o,0
49950,1,0
50100,d,1
50100,6,1
50100,o,0
50100,p,1
50100,1,0
50250,o,0
50250,1,0
50400,d,0
50400,9,1
50400,8,0
50550,o,0
50550,5,0
50587,5,0
50625,5,0
50662,5,0
50700,8,0
50700,s,0
50700,q,0
50700,8,0
50725,8,0
50750,8,0
50775,8,0
50800,8,0
50825,8,0
50850,o,0
50850,1,0
51000,Ctrl+w,1
51000,5,1
51000,p,1
51000,i,0
51000,e,1
51150,9,1
51150,Ctrl+w,1
51300,w,1
51300,5,1
51450,e,1
51450,Ctrl+w,1
51525,Ctrl+w,1
51600,t,0
51600,p,1
51600,y,1
51600,5,1
51600,Ctrl+w,1
51750,y,1
51750,Ctrl+w,1
51825,Ctrl+w,1
51900,p,1
51900,p,1
51900,y,1
51900,Ctrl+w,1
52050,e,1
52050,Ctrl+w,1
52200,t,0
52200,5,1
52225,5,1
52250,5,1
52275,5,1
52300,5,1
52325,5,1
52350,y,1
52500,i,0
52500,t,0
52500,5,1
52500,Ctrl+w,1
52650,s,0
52650,5,1
52800,Ctrl+r,1
52800,6,1
52800,i,0
52800,e,1
52812,p,1
52950,q,0
52950,Ctrl+r,1
53100,e,1
53100,6,1
53125,6,1
53150,6,1
53175,6,1
53200,6,1
53225,6,1
53250,y,0
53250,Ctrl+r,1
53325,Ctrl+r,1
53400,i,0
53400,p,1
53400,i,0
53400,6,1
53400,Ctrl+r,1
53550,p,1
53550,Ctrl+r,1
53625,Ctrl+r,1
53700,p,1
53700,i,0
53700,w,1
53700,i,0
53700,p,1
53700,6,1
53850,e,1
53850,Ctrl+r,1
53925,Ctrl+r,1
54000,d,1
54000,o,0
54000,6,1
54000,Ctrl+r,1
54100,Ctrl+r,1
54150,e,1
54200,Ctrl+r,1
54300,g,0
54300,o,1
54300,6,1
54300,Ctrl+r,1
54450,e,1
54450,Ctrl+r,1
54600,2,1
54600,9,1
54600,w,0
54603,g,0
54612,p,1
54625,h,0
54750,e,1
54750,2,1
54825,9,1
54900,h,1
54900,p,1
54900,i,0
54900,9,1
54900,2,1
55050,e,1
55050,2,1
55200,o,0
55200,p,1
55200,j,1
55200,o,0
55200,p,1
55200,9,1
55350,e,1
55350,2,1
55500,w,0
55500,5,0
55500,a,0
55500,g,0
55500,p,1
55500,o,0
55500,7,0
55650,o,0
55650,Ctrl+t,0
55687,Ctrl+t,0
55725,Ctrl+t,0
55762,Ctrl+t,0
55800,d,1
55800,a,0
55800,7,0
55825,7,0
55850,7,0
55875,7,0
55900,7,0
55925,7,0
55950,o,0
55950,Ctrl+t,0
55950,7,0
56100,a,0
56100,d,0
56100,5,0
56100,Ctrl+q,0
56250,o,0
56250,5,0
56250,Ctrl+q,0
56400,1,0
56400,y,1
56400,8,0
56416,d,1
56425,p,1
56425,o,0
56550,5,0
56550,1,0
56700,8,0
56850,9,0
56850,1,0
56925,1,0
57000,o,0
57000,9,1
57000,o,0
57000,p,1
57000,8,0
57000,1,0
57150,w,0
57150,s,0
57150,1,0
57300,y,1
57300,o,0
57300,d,1
57300,o,0
57300,p,1
57300,1,0
57450,y,0
57450,1,0
57600,e,1
57600,y,0
57600,8,0
57750,w,0
57750,5,1
57787,5,1
57825,5,1
57862,5,1
57900,l,0
57900,9,1
57900,s,0
57900,t,0
57900,8,0
57925,8,0
57950,8,0
57975,8,0
58000,8,0
58025,8,0
58050,9,0
58050,1,0
58200,p,1
58200,d,1
58200,Ctrl+w,1
58200,e,1
58209,h,0
58225,j,1
58350,2,1
58350,Ctrl+w,1
58500,5,1
58650,6,1
58650,Ctrl+w,1
58725,Ctrl+w,1
58800,8,0
58800,y,1
58800,p,1
58800,5,1
58800,Ctrl+w,1
58950,9,1
58950,Ctrl+w,1
59025,Ctrl+w,1
59100,z,1
59100,t,0
59100,d,1
59100,y,1
59100,p,1
59100,y,1
59100,Ctrl+w,1
59250,e,1
59250,Ctrl+w,1
59400,z,0
59400,d,0
59400,w,1
59400,5,1
59425,5,1
59450,5,1
59475,5,1
59500,5,1
59525,5,1
59550,9,1
59700,8,0
59700,z,1
59700,d,1
59700,5,1
59700,Ctrl+w,1
59850,5,1
59850,5,1
60000,Ctrl+r,1
60000,6,1
60000,p,1
60000,j,1
60000,i,0
60000,Ctrl+r,1
60012,d,0
60016,g,0
60150,q,0
60150,Ctrl+r,1
60300,e,1
60300,6,1
60325,6,1
60350,6,1
60375,6,1
60400,6,1
60425,6,1
60450,q,0
60450,Ctrl+r,1
60525,Ctrl+r,1
60600,y,0
60600,p,1
60600,i,0
60600,6,1
60600,Ctrl+r,1
60750,q,0
60750,Ctrl+r,1
60825,Ctrl+r,1
60900,Ctrl+r,1
60900,y,0
60900,i,0
60900,p,1
60900,6,1
60900,p,1
60900,i,0
61050,Ctrl+r,1
61125,Ctrl+r,1
61175,Ctrl+r,1
61200,6,1
61200,d,1
61200,o,0
61200,y,1
61200,Ctrl+r,1
61300,Ctrl+r,1
61400,Ctrl+r,1
61500,6,1
61500,g,0
61500,p,1
61500,i,0
61500,Ctrl+r,1
61500,Ctrl+r,1
61650,Ctrl+r,1
61800,9,1
61800,h,0
61800,p,1
61800,o,0
61800,2,1
61800,o,0
61950,2,1
62025,9,1
62100,2,1
62100,o,1
62100,h,1
62100,p,1
62100,9,1
62100,o,1
62250,2,1
62400,h,0
62400,p,1
62400,9,1
62400,2,1
62400,o,0
62400,o,0
62400,p,1
62406,j,1
62550,2,1
62700,7,0
62700,i,0
62700,a,0
62700,e,1
62700,i,0
62700,o,0
62700,p,1
62712,g,0
62775,y,1
62850,Ctrl+t,0
62850,i,0
62887,Ctrl+t,0
62925,p,1
62925,Ctrl+t,0
62962,Ctrl+t,0
63000,7,0
63000,y,1
63000,d,1
63000,o,0
63000,d,1
63000,y,1
63025,7,0
63050,7,0
63075,g,0
63075,7,0
63100,7,0
63125,7,0
63150,Ctrl+t,0
63150,j,1
63225,z,1
63300,d,0
63300,i,0
63300,5,0
63300,y,0
63300,c,0
63300,y,0
63300,Ctrl+q,0
63375,b,1
63450,Ctrl+q,0
63450,Ctrl+i,1
63450,5,0
63525,Ctrl+p,0
63600,1,0
63600,5,1
63600,t,0
63600,y,1
63600,9,1
63600,g,0
63600,Ctrl+w,1
63750,d,1
63900,p,1
64050,t,0
64050,5,1
64050,1,0
64050,9,1
64050,y,1
64050,g,0
64050,Ctrl+w,1
64200,d,1
64350,p,1
64500,1,0
64500,5,1
64500,t,0
64500,y,1
64500,9,1
64500,g,0
64500,Ctrl+w,1
64625,d,1
64650,h,1
64650,d,1
64675,j,1
64706,z,1
64800,p,1
64912,g,0
64950,5,1
64987,5,1
65000,z,1
65025,v,1
65025,5,1
65050,b,1
65062,d,1
65062,5,1
65081,Ctrl+i,1
65100,1,0
65125,1,0
65150,1,0
65175,1,0
65200,1,0
65213,p,1
65225,1,0
65300,v,1
65325,b,1
65350,Ctrl+i,1
65375,Ctrl+d,1
65400,o,1
65400,g,0
65400,Ctrl+w,1
65550,y,1
65550,d,1
65550,5,1
65700,p,1
65700,p,1
65700,Ctrl+w,1
65775,5,1
65850,d,1
65850,g,0
65850,Ctrl+w,1
65925,5,1
66000,p,1
66000,d,1
66000,Ctrl+w,1
66038,p,0
66075,o,1
66150,y,1
66150,p,1
66150,Ctrl+w,1
66300,e,1
66300,5,1
66325,5,1
66350,5,1
66375,w,1
66375,5,1
66400,5,1
66425,5,1
66450,h,1
66600,h,0
66600,Ctrl+w,1
66600,5,1
66675,d,1
66750,9,0
66750,2,0
66750,5,0
66750,e,1
66750,6,1
66750,y,0
66750,p,1
66750,Ctrl+q,0
66825,o,1
66900,s,0
66900,o,1
67050,s,0
67050,o,1
67200,1,0
67200,5,1
67200,t,0
67200,y,1
67200,9,1
67200,g,0
67200,Ctrl+w,1
67350,d,1
67500,p,1
67650,y,1
67650,t,0
67650,5,1
67650,1,0
67650,9,1
67650,g,0
67650,Ctrl+w,1
67800,d,1
67950,p,1
68100,1,0
68100,5,1
68100,t,0
68100,y,1
68100,9,1
68100,g,0
68100,Ctrl+w,1
68225,d,1
68250,h,1
68250,d,1
68275,j,1
68306,z,1
68400,p,1
68400,Ctrl+w,1
68513,g,0
68550,5,1
68600,z,1
68625,v,1
68650,b,1
68663,d,1
68681,Ctrl+i,1
68700,Ctrl+w,1
68700,5,1
68813,p,1
68850,Ctrl+w,1
68900,v,1
68925,b,1
68950,Ctrl+i,1
68975,Ctrl+d,1
69000,d,1
69000,g,0
69000,Ctrl+w,1
69150,j,1
69150,d,1
69150,5,1
69300,o,1
69300,p,1
69300,5,1
69450,o,0
69450,g,0
69450,Ctrl+w,1
69525,y,1
69600,e,1
69600,d,1
69600,5,1
69675,w,1
69750,h,1
69750,p,1
69750,5,1
69788,5,1
69825,5,1
69863,5,1
69900,h,0
69900,1,0
69925,1,0
69950,1,0
69975,d,1
69975,1,0
70000,1,0
70025,1,0
70050,p,1
70125,o,1
70200,9,0
70200,7,0
70200,5,0
70200,2,0
70200,z,1
70200,d,1
70200,Ctrl+q,0
70350,d,0
70350,z,0
70500,j,1
70500,p,1
70650,i,0
70650,g,0
70800,s,0
70800,1,0
70800,o,0
70800,t,0
70950,5,0
71100,8,0
71250,l,0
71250,9,0
71250,h,0
71250,s,0
71400,9,1
71700,j,1
71700,g,0
71700,Ctrl+r,1
71700,c,0
71850,4,0
72000,z,0
72000,h,0
72000,9,0
72000,v,0
72300,z,1
72300,h,1
72300,7,0
72300,v,1
72450,q,0
72600,r,0
72750,k,0
72750,g,0
72750,i,0
72750,c,0
72900,o,1
73200,8,0
73200,v,0
73200,h,0
73300,v,0
73300,h,0
73350,y,1
73350,t,0
73350,w,0
73400,v,0
73400,h,0
73500,1,0
73500,m,0
73500,l,0
73600,m,0
73600,l,0
