# initial_tempo=120 bpm
# tempo_change_tick=0 bpm=120
# tempo_change_tick=0 bpm=60
# tempo_change_tick=240 bpm=375
# tempo_change_tick=274800 bpm=372
# tempo_change_tick=274920 bpm=369
# tempo_change_tick=275040 bpm=366
# tempo_change_tick=275160 bpm=363
# tempo_change_tick=275280 bpm=360
# tempo_change_tick=275400 bpm=357
# tempo_change_tick=275520 bpm=354
# tempo_change_tick=275640 bpm=351
# tempo_change_tick=275760 bpm=232
# tempo_change_tick=275880 bpm=345
# tempo_change_tick=276000 bpm=228
# tempo_change_tick=276120 bpm=339
# tempo_change_tick=276240 bpm=224
# tempo_change_tick=276360 bpm=222
# tempo_change_tick=276480 bpm=220
# tempo_change_tick=276600 bpm=218
# tempo_change_tick=276720 bpm=188
# tempo_change_tick=307440 bpm=375
time_ms,key,shift
500,s,0
660,p,0
820,f,0
1140,g,0
1300,p,0
1460,d,0
1780,d,0
1940,o,0
2100,a,0
2420,f,0
2580,h,0
2740,f,0
2900,d,0
3060,Ctrl+e,0
3060,s,0
3220,6,0
3220,p,0
3380,f,0
3540,6,0
3540,p,0
3700,Ctrl+6,0
3700,g,0
3860,2,0
3860,p,0
4020,d,0
4180,2,0
4180,o,0
4340,Ctrl+q,0
4340,d,0
4500,5,0
4500,o,0
4660,a,0
4820,2,0
4820,o,0
4980,1,0
4980,f,0
5140,5,0
5140,h,0
5300,Ctrl+q,0
5300,f,0
5460,1,0
5460,d,0
5620,Ctrl+e,0
5620,s,0
5620,p,0
5620,s,0
5620,f,0
5620,1,0
5620,8,1
5780,6,0
5780,p,0
5780,p,0
5780,s,0
5780,f,0
5940,Ctrl+e,0
5940,f,0
6100,6,0
6100,p,0
6100,p,0
6100,s,0
6100,f,0
6260,Ctrl+6,0
6260,g,0
6260,p,0
6260,d,0
6260,g,0
6260,p,0
6260,d,0
6260,g,0
6420,2,0
6420,p,0
6580,Ctrl+6,0
6580,d,0
6580,p,0
6580,d,0
6580,g,0
6740,2,0
6740,o,0
6740,2,0
6900,Ctrl+q,0
6900,d,0
6900,o,0
6900,a,0
6900,d,0
6900,o,0
6900,a,0
6900,d,0
6900,1,0
7060,5,0
7060,o,0
7220,Ctrl+q,0
7220,a,0
7220,o,0
7220,a,0
7220,d,0
7220,1,0
7380,Ctrl+q,0
7380,o,0
7380,o,0
7380,a,0
7380,d,0
7540,1,0
7540,f,0
7540,o,0
7540,s,0
7540,f,0
7540,o,0
7540,s,0
7540,f,0
7540,1,0
7540,8,1
7700,8,0
7700,h,0
7700,2,0
7740,2,0
7780,2,0
7820,2,0
7860,Ctrl+q,0
7860,f,0
7860,o,0
7860,s,0
7860,f,0
7860,2,0
8020,5,0
8020,d,0
8020,2,0
8180,Ctrl+e,0
8180,s,0
8180,p,0
8180,s,0
8180,f,0
8180,f,0
8180,p,0
8180,1,0
8180,8,1
8200,s,0
8220,p,0
8240,f,0
8340,6,0
8340,p,0
8340,p,0
8340,s,0
8340,f,0
8340,p,0
8360,s,0
8380,p,0
8400,f,0
8500,Ctrl+e,0
8500,f,0
8500,p,0
8520,s,0
8540,p,0
8560,f,0
8660,6,0
8660,p,0
8660,p,0
8660,s,0
8660,f,0
8660,p,0
8680,s,0
8700,p,0
